epoch,eval_reward,eval_sd
100,-8924474.298717735,11484.742948372877
200,-8903040.276590709,11470.20117673684
300,-8849418.157209273,18221.862479893647
400,-8696405.37518772,88701.99224443283
500,-8525420.467885183,39702.312925295504
600,-8506580.395207921,13340.879361993513
700,-8479210.61371786,18060.562093000957
800,-8398254.063923348,32201.035639143756
900,-7478952.03461911,358410.09758989525
1000,-7014177.246147144,105178.19821572618
1100,-6829315.656820742,65829.20872917019
1200,-6726181.625281744,62413.55681171291
1300,-6680473.383211834,41320.404295612316
1400,-6599485.158915862,44585.00134537003
1500,-6578680.231007818,34259.263913048046
1600,-6546312.574398372,29370.35021788724
1700,-6528917.917962894,38234.66592720361
1800,-6395136.482643429,103001.33983098835
1900,-6349992.382945555,112079.10711809417
2000,-6337900.476321919,135420.81355926263
2100,-6387950.266313901,124588.70773817632
2200,-6288471.2186747175,170391.73336155104
2300,-6384846.976182667,100523.35557307408
2400,-6369635.7534545055,125108.6638265204
2500,-6380814.562725941,116183.86195580846
2600,-6351276.018035407,108805.48296160232
2700,-6366695.944293587,161671.06229778283
2800,-6394411.106019974,127086.97822321333
2900,-6364635.7681428,146104.75349367832
3000,-6367588.9986110795,98837.3314226407
3100,-6348034.922545667,121604.97432226912
3200,-6361347.26359188,143001.71011234052
3300,-6357921.72956879,132503.4691207527
3400,-6371131.859636163,137829.58627785638
3500,-6369403.874948282,123908.11699278725
3600,-6383528.417201859,110400.63029363929
3700,-6403326.823947465,93417.66176732042
3800,-6329108.709241348,132163.64065121918
3900,-6348168.938135597,114999.79061380864
